song_id,title,artist,album,genre,duration
SONG 001,Bohemian Rhapsody,Queen,A night at the opera,Rock,5:55
SONG 002,Imagine,John Lennon,imagine,Pop,3:37
SONG 003,Hey Jude,The Beatles,hey jude,Pop,7:11
SONG 004,Halleliyah,Leonard Cohen,various artists,Folk,4:00
SONG 005,What a wonderful world,Louis Armstrong,louis armstrong,Jazz,2:08
